اسم السيارة,موديل السيارة,سعر السيارة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,حالة الإعلان,تاريخ نشر الإعلان,تاريخ إنتهاء الإعلان,Number_of_Additions,فتحة السقف,الدفع
فولكسفاجن جولف,موديل سنة 2018,120000 شيكل,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,122000,4+1,إمكانية التقسيط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-10-17,2021-12-16,6.0,0.0,دفع أمامي
فيات بونتو,موديل سنة 2009,28000 شيكل,فضي,بنزين,تأجير,فلسطينية,عادي,الكتروني,1600,,,إمكانية التقسيط,للبيع أو التبديل,,إغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-10-18,2021-12-17,4.0,0.0,
سيت ارونا,موديل سنة 2018,98000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,54000,4+1,نقدا فقط,للبيع فقط,يد أولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-10-18,2021-12-17,6.0,0.0,دفع أمامي
بي ام دبليو M3,موديل سنة 2014,115000 شيكل,كحلي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-19,2021-11-18,7.0,1.0,
سكودا سوبيرب,موديل سنة 2016,130000 شيكل,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,يد ثالثة,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-19,2021-12-18,7.0,0.0,
كيا ستونك,موديل سنة 2018,83000 شيكل,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,45000,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-19,2021-12-18,7.0,0.0,دفع أمامي
مرسيدس 410,موديل سنة 1990,25000 شيكل,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,يدوي,2500,123456789,6+1,نقدا فقط,للبيع أو التبديل,٥,مسجل CD,إعلان منتهي,2021-10-19,2021-12-18,1.0,0.0,
شفروليه افيو,موديل سنة 2010,23000 شيكل,أزرق,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1400,200000,3+1,نقدا فقط,للبيع فقط,٣,إغلاق مركزيجنطات مغنيسيومفرش جلد,إعلان منتهي,2021-10-19,2021-12-18,3.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن GTI,موديل سنة 2015,137000 شيكل,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,87000,4+1,إمكانية التقسيط,للبيع أو التبديل,اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-20,2021-12-19,7.0,1.0,
كيا ريو,موديل سنة 2016,57000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,64000,4+1,نقدا فقط,للبيع فقط,يد ثانية,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2021-10-20,2021-11-04,5.0,0.0,دفع أمامي
فولكسفاجن بولو,موديل سنة 2018,105000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,105000,4+1,نقدا فقط,للبيع فقط,يد اولى الماني,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-19,2021-12-18,7.0,1.0,دفع أمامي
كيا سبورتاج,موديل سنة 2011,75000 شيكل,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,15000,4+1,إمكانية التقسيط,للبيع أو التبديل,٢,مُكيّفإغلاق مركزيجهاز إنذارجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-20,2021-11-19,6.0,0.0,دفع رباعي 4x4
سكودا اوكتافيا,موديل سنة 2014,59000 شيكل,أسود,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,400000,4+1,إمكانية التقسيط,للبيع فقط,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-31,2021-12-30,7.0,1.0,دفع أمامي
سيت ابيزا,موديل سنة 2014,57000 شيكل,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,80000,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-20,2021-11-04,6.0,0.0,دفع أمامي
هونداي سانتافيه,موديل سنة 2008,54000 شيكل,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,198000,6+1,إمكانية التقسيط,للبيع أو التبديل,يد ثانية,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-20,2021-11-19,7.0,1.0,دفع رباعي 4x4
سيت ليون,موديل سنة 2020,124000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,17000,4+1,إمكانية التقسيط,للبيع أو التبديل,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-20,2021-12-19,7.0,1.0,دفع أمامي
فولكسفاجن بولو,موديل سنة 2018,58000 شيكل,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,46000,4+1,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-10-27,2021-12-26,5.0,0.0,
شفروليه اوبترا,موديل سنة 2007,23000 شيكل,ذهبي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,150000,4+1,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-21,2021-11-05,6.0,0.0,دفع أمامي
كيا مورننغ,موديل سنة 2018,53000 شيكل,بيج,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,998,39000,4+1,نقدا فقط,للبيع أو التبديل,صفر,مُكيّفإغلاق مركزيجهاز إنذارجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-21,2021-11-25,6.0,0.0,دفع أمامي
ستروين بيرلينجو,موديل سنة 2016,75000 شيكل,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,140000,4+1,نقدا فقط,للبيع أو التبديل,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-21,2021-11-10,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
كيا ريو,موديل سنة 2010,30000 شيكل,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1500,00,4+1,إمكانية التقسيط,للبيع أو التبديل,٢,مُكيّفمسجل CDفرش جلد,إعلان منتهي,2021-10-23,2021-11-22,3.0,0.0,
هونداي جيتس,موديل سنة 2008,28500 شيكل,سكني,بنزين,تأجير,فلسطينية,عادي,الكتروني,1400,300000,4+1,إمكانية التقسيط,للبيع أو التبديل,ثانية,إغلاق مركزيمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-23,2021-12-22,5.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن جولف,موديل سنة 2012,60000 شيكل,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100,4+1,نقدا فقط,للبيع فقط,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-24,2021-12-23,6.0,0.0,دفع أمامي
كيا سبورتاج,موديل سنة 2018,106000 شيكل,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,90000,4+1,نقدا فقط,للبيع أو التبديل,1,مُكيّفمسجل CDجنطات مغنيسيومفرش جلد,إعلان منتهي,2021-10-24,2021-12-23,4.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
كيا اوبتيما,موديل سنة 2018,115000 شيكل,عدة الوان,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1700,,4+1,إمكانية التقسيط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2022-02-03,2022-04-04,7.0,0.0,دفع أمامي
اوبل استرا,موديل سنة 2006,35000 شيكل,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,326000,4+1,نقدا فقط,للبيع فقط,يد رابعه,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيومفرش جلد,إعلان منتهي,2021-10-24,2021-11-23,5.0,0.0,دفع أمامي
هونداي i30,موديل سنة 2011,50000 شيكل,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,111000,4+1,نقدا فقط,للبيع أو التبديل,٣,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-25,2021-11-09,7.0,1.0,
هونداي توسان,موديل سنة 2016,19000 شيكل,أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,87000,4+1,إمكانية التقسيط,للبيع أو التبديل,١,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-25,2021-12-24,7.0,1.0,
فولكسفاجن جولف,موديل سنة 2008,45000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,يد رابعة,مُكيّفجهاز إنذارمسجل CDجنطات مغنيسيوم,إعلان منتهي,2021-10-25,2021-12-24,4.0,0.0,دفع أمامي
بي ام دبليو 420I coupe,موديل سنة 2014,140000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,110000,4+1,إمكانية التقسيط,للبيع فقط,يد اولىً,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-25,2021-12-24,7.0,1.0,دفع خلفي
اوبل استرا,موديل سنة 2011,40000 شيكل,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,150000,4+1,نقدا فقط,للبيع أو التبديل,٥,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-10-25,2021-12-24,6.0,0.0,دفع أمامي
فيات فرينو,موديل سنة 2010,27500 شيكل,برتقالي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1360,,4+1,نقدا فقط,للبيع فقط,,إغلاق مركزيجهاز إنذار,إعلان منتهي,2021-10-25,2021-12-24,2.0,0.0,دفع أمامي
هونداي توسان,موديل سنة 2017,113000 شيكل,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,87000,4+1,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-25,2021-11-09,7.0,1.0,
مرسيدس 412,موديل سنة 1997,75000 شيكل,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,,6+1,نقدا فقط,للبيع فقط,٤,,إعلان منتهي,2021-10-26,2021-12-25,0.0,0.0,دفع خلفي
فولكسفاجن بولو,موديل سنة 2016,58000 شيكل,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,,نقدا فقط,للبيع أو التبديل,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-10-26,2021-12-25,6.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن كادي,موديل سنة 2019,106000 شيكل,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,40,6+1,نقدا فقط,للبيع أو التبديل,١,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-25,2021-11-09,7.0,0.0,دفع خلفي
,,,,,,,,,,,,,,,,,,,,,
اوبل استرا,موديل سنة 2011,35200 شيكل,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-10-27,2021-12-26,6.0,0.0,
سيت ليون,موديل سنة 2017,79000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,60000,4+1,نقدا فقط,للبيع فقط,اولى,مُكيّفإغلاق مركزيجهاز إنذارجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-27,2021-11-26,6.0,0.0,دفع أمامي
,,,,,,,,,,,,,,,,,,,,,
فورد كونيكت,موديل سنة 2008,54000 شيكل,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1800,240,4+1,نقدا فقط,للبيع فقط,أولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوم,إعلان منتهي,2021-10-27,2021-12-26,5.0,0.0,
اوبل استر,موديل سنة 1997,17000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,٤,إغلاق مركزيجهاز إنذار,إعلان منتهي,2021-10-27,2021-12-26,2.0,0.0,دفع أمامي
هونداي كونا,موديل سنة 2018,100000 شيكل,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,36000,,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-11-04,2022-01-03,7.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
هونداي H1,موديل سنة 2018,153000 شيكل,بني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,37000,8+1,نقدا فقط,للبيع أو التبديل,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-31,2021-11-15,7.0,1.0,
هونداي توسان,موديل سنة 2018,145000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,28000,4+1,نقدا فقط,للبيع أو التبديل,مش منمر,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-27,2021-12-26,7.0,1.0,دفع أمامي
سكودا فابيا,موديل سنة 2018,82000 شيكل,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,,,نقدا فقط,للبيع أو التبديل,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-11-07,2022-01-06,6.0,0.0,
شفروليه اوبترا,موديل سنة 2006,24000 شيكل,سكني,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,400,4+1,نقدا فقط,للبيع فقط,6,مُكيّفمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-28,2021-12-27,4.0,0.0,دفع أمامي
كيا برايد,موديل سنة 2014,50000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,93000,4+1,نقدا فقط,للبيع فقط,ايد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-28,2021-12-27,7.0,1.0,دفع أمامي
بيجو بارتنر,موديل سنة 2014,60000 شيكل,بترولي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,7+1,نقدا فقط,للتبديل فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-10-28,2021-12-27,6.0,0.0,دفع أمامي
ستروين بيرلينجو,موديل سنة 2019,100000 شيكل,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1500,,4+1,نقدا فقط,للبيع فقط,١,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-28,2021-12-27,6.0,0.0,
اوبل اسكونا,موديل سنة 1986,10000 شيكل,فضي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,4+1,نقدا فقط,للبيع فقط,10,,إعلان منتهي,2021-10-30,2021-12-29,0.0,0.0,دفع أمامي
شفروليه افيو,موديل سنة 2009,30000 شيكل,أسود,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1400,170000,4+1,نقدا فقط,للبيع أو التبديل,,,إعلان منتهي,2021-10-30,2021-12-29,0.0,0.0,دفع أمامي
كيا ريو,موديل سنة 2016,68000 شيكل,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,4700,4+1,إمكانية التقسيط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-30,2021-11-19,7.0,1.0,دفع أمامي
هونداي اكسنت,موديل سنة 2016,56000 شيكل,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارفرش جلد,إعلان منتهي,2021-10-30,2021-12-29,4.0,0.0,
كيا سبورتاج,موديل سنة 2018,13000 شيكل,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,70000,4+1,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-11-04,2021-12-04,7.0,0.0,دفع رباعي 4x4
,,,,,,,,,,,,,,,,,,,,,
كيا سبورتاج,موديل سنة 2015,88000 شيكل,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,160000,4+1,نقدا فقط,للبيع فقط,3,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-31,2021-12-30,7.0,0.0,دفع رباعي 4x4
هونداي كونا,موديل سنة 2019,110000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,60000,4+1,نقدا فقط,للبيع فقط,صفر,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-11-03,2022-01-02,7.0,1.0,
كيا مورننغ,موديل سنة 2019,52999 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,69000,4+1,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-31,2021-12-30,7.0,0.0,
سكودا اوكتافيا,موديل سنة 2016,82000 شيكل,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,48000,4+1,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-10-31,2021-12-30,7.0,0.0,
,,,,,,,,,,,,,,,,,,,,,
سكودا اوكتافيا,موديل سنة 2012,75000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,1800,112000,4+1,نقدا فقط,للبيع فقط,0,مُكيّفإغلاق مركزيمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-10-31,2021-12-30,5.0,1.0,دفع أمامي
سكودا اوكتافيا,موديل سنة 2017,130000 شيكل,أزرق سماوي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1800,60000,4+1,نقدا فقط,للبيع فقط,2,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-11-01,2021-12-31,6.0,1.0,دفع أمامي
هونداي اكسنت,موديل سنة 2013,60000 شيكل,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,85000,4+1,إمكانية التقسيط,للبيع أو التبديل,٢,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-11-01,2021-11-21,6.0,0.0,دفع أمامي
كيا برايد,موديل سنة 2014,46000 شيكل,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,190,4+1,نقدا فقط,للبيع أو التبديل,يد رابعة,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-11-01,2021-12-01,7.0,0.0,دفع أمامي
,,,,,,,,,,,,,,,,,,,,,
فولكسفاجن كادي,موديل سنة 2012,70000 شيكل,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,6+1,نقدا فقط,للبيع فقط,يد ثالثة,,إعلان منتهي,2021-11-02,2022-01-01,0.0,0.0,دفع أمامي
فيات كيوبو,موديل سنة 2012,27000 شيكل,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1300,1000000,4+1,نقدا فقط,للبيع فقط,4,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-11-02,2021-11-17,7.0,0.0,دفع أمامي
سيت ليون,موديل سنة 2010,80000 شيكل,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-11-03,2022-01-02,5.0,1.0,
سكودا اوكتافيا,موديل سنة 2011,49000 شيكل,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,إمكانية التقسيط,للبيع أو التبديل,,,إعلان منتهي,2021-11-03,2022-01-02,0.0,0.0,
نيسان ألتيما,موديل سنة 2015,80000 شيكل,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2400,10000,4+1,نقدا فقط,للبيع أو التبديل,اولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-11-03,2022-01-02,7.0,0.0,دفع أمامي
هونداي فيرنا,موديل سنة 2002,27000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,,مُكيّفإغلاق مركزيجهاز إنذارجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-11-03,2022-01-02,5.0,0.0,دفع أمامي
كيا مورننغ,موديل سنة 2019,52000 شيكل,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,26000,4+1,نقدا فقط,للبيع فقط,1,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDوسادة حماية هوائية,إعلان منتهي,2021-11-03,2021-11-18,5.0,0.0,دفع أمامي
كيا مورننغ,موديل سنة 2019,63000 شيكل,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,44,4+1,نقدا فقط,للبيع فقط,00,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-11-04,2021-11-19,7.0,1.0,دفع أمامي
مرسيدس 200,موديل سنة 1995,35000 شيكل,أسود ميتالك,بنزين,حكومي,فلسطينية,عادي,يدوي,2000,00000,4+1,نقدا فقط,للبيع أو التبديل,9,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفوسادة حماية هوائية,إعلان منتهي,2021-11-04,2022-01-03,5.0,1.0,دفع خلفي
فولكسفاجن جولف,موديل سنة 2015,90000 شيكل,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,90000,4+1,نقدا فقط,للبيع أو التبديل,يد أولى,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDفتحة سقفجنطات مغنيسيوموسادة حماية هوائية,إعلان منتهي,2021-11-04,2021-11-29,6.0,1.0,دفع أمامي
فولكسفاجن ترانسبورتر,موديل سنة 2005,50000 شيكل,أسود ميتالك,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,,إمكانية التقسيط,للبيع أو التبديل,,إغلاق مركزيمسجل CDجنطات مغنيسيوم,إعلان منتهي,2021-11-04,2021-11-19,3.0,0.0,دفع أمامي
فولكسفاجن كرافيل,موديل سنة 2008,65000 شيكل,أسود,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,7+1,إمكانية التقسيط,للبيع أو التبديل,يد ثانية,مُكيّفإغلاق مركزيمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-11-06,2022-01-05,6.0,0.0,دفع أمامي
بيجو 308,موديل سنة 2015,65000 شيكل,عدة الوان,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,58041,4+1,نقدا فقط,للبيع فقط,يد اولى,مُكيّفإغلاق مركزيجهاز إنذارفتحة سقفجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-11-06,2022-01-05,6.0,1.0,دفع أمامي
فيات باندا,موديل سنة 2010,26000 شيكل,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,100000,4+1,نقدا فقط,للبيع فقط,يد تانيه,مُكيّفإغلاق مركزيجهاز إنذارمسجل CDجنطات مغنيسيومفرش جلدوسادة حماية هوائية,إعلان منتهي,2021-11-06,2022-01-05,7.0,0.0,دفع أمامي
